 -- Event     2 Run:     2 length:  5134 type:  1 (Data Event)  1660163116
Packet  1001  5126 -1 (sPHENIX Packet)  81 (IDDRS4V1)
 Samples 1024  enabled channnels:   0  1  2  3
   ch |       time          ch0          ch1          ch2          ch3
    0 |          0         -9.3         -9.3         -9.2         -9.3   
    1 |   0.504557         -8.7           -8         -8.3         -9.2   
    2 |    1.00911         -7.7         -7.8         -7.3         -8.7   
    3 |    1.51367         -8.4         -8.6         -8.7         -8.6   
    4 |    2.01823         -7.5         -8.4         -8.2         -7.6   
    5 |    2.52279         -7.4         -7.7         -7.8         -8.2   
    6 |    3.02734         -8.3         -7.2         -7.4         -7.1   
    7 |     3.5319         -6.9         -6.6         -7.1         -7.3   
    8 |    4.03646         -7.1           -8         -7.7         -7.9   
    9 |    4.54102         -7.6         -8.5         -7.3         -7.6   
   10 |    5.04557         -6.3         -7.4         -7.5         -7.1   
   11 |    5.55013         -7.7         -7.5         -8.3         -8.9   
   12 |    6.05469         -7.9         -6.7         -8.7           -8   
   13 |    6.55924         -8.4         -8.1         -8.5         -8.4   
   14 |     7.0638         -8.6         -9.3         -8.2         -8.4   
   15 |    7.56836         -9.1         -9.8         -9.2         -9.8   
   16 |    8.07292         -8.2         -8.9         -8.5         -8.3   
   17 |    8.57747         -7.7         -8.8         -8.6         -8.1   
   18 |    9.08203         -7.4         -7.8         -7.5         -7.4   
   19 |    9.58659         -7.2         -6.8         -7.3         -7.6   
   20 |    10.0911         -5.9           -8         -7.2         -5.9   
   21 |    10.5957         -5.1         -6.2         -5.8         -5.5   
   22 |    11.1003         -5.9         -5.2         -6.7         -5.7   
   23 |    11.6048         -6.2         -5.9           -8           -7   
   24 |    12.1094         -5.8         -7.4         -6.3         -6.8   
   25 |    12.6139         -6.8         -7.3         -7.1         -7.3   
   26 |    13.1185           -8         -7.2         -7.9         -8.1   
   27 |     13.623         -8.1         -7.7         -9.5         -9.3   
   28 |    14.1276         -9.2         -8.2         -9.6           -9   
   29 |    14.6322         -9.4         -9.4         -9.7         -9.9   
   30 |    15.1367         -9.8         -9.9         -9.6         -9.5   
   31 |    15.6413        -10.3         -9.8        -10.2        -10.1   
   32 |    16.1458          -10         -9.7         -9.6         -9.3   
   33 |    16.6504         -9.5        -10.2           -9         -9.8   
   34 |    17.1549           -9         -8.7         -9.2         -8.6   
   35 |    17.6595         -9.2         -8.5         -8.9         -8.8   
   36 |    18.1641         -7.5         -7.4         -7.9           -8   
   37 |    18.6686           -7         -6.2         -7.6         -7.7   
   38 |    19.1732         -7.2         -7.1         -7.3         -8.5   
   39 |    19.6777         -7.2         -8.1         -7.3         -7.6   
   40 |    20.1823         -6.3         -6.7         -7.3         -6.5   
   41 |    20.6868         -7.2         -6.8         -7.4         -6.7   
   42 |    21.1914         -6.6         -7.1         -6.9         -7.5   
   43 |     21.696         -7.1         -7.1         -7.2         -7.8   
   44 |    22.2005         -7.8         -7.3         -8.1         -7.7   
   45 |    22.7051         -8.1         -8.1         -8.7         -8.1   
   46 |    23.2096         -8.4         -7.9         -8.6         -8.2   
   47 |    23.7142         -8.9         -9.5         -8.2         -8.2   
   48 |    24.2188         -7.9           -8         -8.5         -7.9   
   49 |    24.7233         -7.8         -7.9           -9           -8   
   50 |    25.2279         -8.3         -8.2         -7.4         -8.2   
   51 |    25.7324           -8         -7.8         -7.7         -8.6   
   52 |     26.237         -6.9         -7.5         -8.7         -7.2   
   53 |    26.7415         -7.8         -6.8         -6.7         -6.8   
   54 |    27.2461         -6.4         -6.3         -7.7         -5.8   
   55 |    27.7507         -7.4         -8.3         -7.1         -7.6   
   56 |    28.2552         -7.7         -8.3         -7.3         -8.1   
   57 |    28.7598         -6.7         -7.6         -7.9         -7.5   
   58 |    29.2643         -7.6         -6.7         -8.2         -7.7   
   59 |    29.7689         -8.8         -8.1         -9.2         -9.3   
   60 |    30.2734         -8.6         -8.8         -8.7           -9   
   61 |     30.778         -8.5         -8.6         -8.9         -9.2   
   62 |    31.2826         -8.8         -7.6         -8.6         -8.7   
   63 |    31.7871         -8.4         -8.5         -9.1         -8.7   
   64 |    32.2917         -9.6         -8.9         -9.3         -8.5   
   65 |    32.7962         -8.2         -8.1         -8.6         -8.4   
   66 |    33.3008           -9         -7.9         -8.6         -8.5   
   67 |    33.8053         -8.4         -8.1         -8.5         -9.1   
   68 |    34.3099         -7.9         -8.2         -7.7         -7.9   
   69 |    34.8145         -6.7         -7.5         -6.8         -6.8   
   70 |     35.319         -6.3         -7.1         -7.7         -7.8   
   71 |    35.8236         -6.9         -7.1         -7.7         -7.8   
   72 |    36.3281         -7.9         -6.5         -7.9         -7.6   
   73 |    36.8327         -6.5         -8.4           -7           -8   
   74 |    37.3372         -7.5         -7.1         -7.8         -7.5   
   75 |    37.8418         -8.1         -8.5         -7.9         -9.2   
   76 |    38.3464         -7.6         -6.9         -8.9         -7.8   
   77 |    38.8509           -9         -8.8         -8.9         -7.6   
   78 |    39.3555           -8         -9.6         -8.4         -7.7   
   79 |      39.86         -8.3         -9.3         -8.6         -8.4   
   80 |    40.3646         -9.4           -9         -9.4         -8.3   
   81 |    40.8691         -8.8         -8.4         -8.8         -7.6   
   82 |    41.3737         -8.2         -8.5           -8         -8.1   
   83 |    41.8783         -7.9         -7.9         -7.8         -7.4   
   84 |    42.3828         -6.2         -7.4         -7.7         -6.5   
   85 |    42.8874         -6.4         -6.5           -7         -6.1   
   86 |    43.3919         -5.9         -6.4         -6.9         -6.5   
   87 |    43.8965         -6.6         -6.3         -6.8         -7.1   
   88 |     44.401         -6.2         -7.6         -7.4           -7   
   89 |    44.9056         -6.9         -6.7         -6.9         -7.2   
   90 |    45.4102         -6.5         -7.3         -7.4         -6.6   
   91 |    45.9147         -7.9         -8.3         -7.9         -8.4   
   92 |    46.4193         -9.1         -9.2         -9.8         -8.7   
   93 |    46.9238         -8.5           -9         -8.9         -7.8   
   94 |    47.4284           -9           -9           -9         -9.5   
   95 |    47.9329         -9.2         -9.3         -9.2          -10   
   96 |    48.4375         -9.3         -8.9        -10.1         -8.6   
   97 |    48.9421         -9.1        -10.1         -9.4         -9.3   
   98 |    49.4466         -8.1         -8.8         -7.9         -8.9   
   99 |    49.9512           -9         -8.5         -8.3         -8.6   
  100 |    50.4557         -8.2         -7.2         -7.7         -8.1   
  101 |    50.9603         -7.8         -7.2         -8.2         -8.5   
  102 |    51.4648         -7.3         -7.3           -8         -8.5   
  103 |    51.9694         -6.5         -7.1         -6.9         -6.9   
  104 |     52.474         -6.9         -7.6         -6.9         -7.2   
  105 |    52.9785         -7.2           -7         -7.7         -7.3   
  106 |    53.4831         -6.2         -7.6         -7.5         -7.6   
  107 |    53.9876         -8.7         -7.8         -8.5           -8   
  108 |    54.4922         -7.6         -8.1         -8.5         -7.3   
  109 |    54.9967         -7.4         -7.9         -8.8         -8.9   
  110 |    55.5013         -8.1         -7.8         -7.1         -8.8   
  111 |    56.0059         -8.1         -8.4         -7.5           -8   
  112 |    56.5104         -9.4         -8.4         -8.3         -8.5   
  113 |     57.015         -7.8           -8         -8.5         -7.7   
  114 |    57.5195         -8.8         -8.1         -7.5         -7.8   
  115 |    58.0241         -7.2         -8.7         -7.6         -7.7   
  116 |    58.5286         -6.9         -7.9         -8.4         -7.7   
  117 |    59.0332         -7.3         -6.7           -8         -8.4   
  118 |    59.5378         -7.3         -7.5         -6.6           -7   
  119 |    60.0423         -6.6         -7.9         -7.5           -7   
  120 |    60.5469         -7.2         -7.9         -7.9         -7.2   
  121 |    61.0514         -7.4           -7         -8.3         -7.9   
  122 |     61.556         -7.8         -8.7         -7.5         -8.1   
  123 |    62.0605         -9.2         -9.2         -8.9         -9.6   
  124 |    62.5651         -8.6         -9.1         -9.4         -8.1   
  125 |    63.0697         -7.8         -8.8         -8.6         -8.5   
  126 |    63.5742         -7.8         -8.1         -8.1         -8.5   
  127 |    64.0788         -8.3         -8.2         -7.7           -9   
  128 |    64.5833         -8.6         -8.6         -8.9         -8.3   
  129 |    65.0879         -7.8         -8.6         -8.7         -8.2   
  130 |    65.5924         -7.3         -7.4         -8.6         -7.5   
  131 |     66.097         -8.3         -8.4         -8.5         -8.5   
  132 |    66.6016         -7.7         -7.2         -7.4         -7.9   
  133 |    67.1061           -8         -7.6         -7.5         -6.6   
  134 |    67.6107         -6.9         -7.4         -7.4         -6.6   
  135 |    68.1152         -7.3         -8.2         -8.1         -7.6   
  136 |    68.6198         -7.3         -7.1         -7.7         -7.6   
  137 |    69.1244         -7.8         -7.2         -7.6         -7.3   
  138 |    69.6289         -7.3         -8.1         -7.4         -8.4   
  139 |    70.1335         -8.1           -8         -7.7         -8.9   
  140 |     70.638         -8.4         -8.3         -8.8         -8.7   
  141 |    71.1426         -8.8         -8.3         -8.4         -8.5   
  142 |    71.6471           -9           -9         -8.5         -9.8   
  143 |    72.1517         -9.6         -9.3        -10.3         -9.2   
  144 |    72.6562         -8.4           -9         -8.6         -7.8   
  145 |    73.1608         -8.2         -8.2           -8         -7.8   
  146 |    73.6654         -7.7         -8.5         -7.9         -7.6   
  147 |    74.1699         -7.2           -7         -6.7         -6.8   
  148 |    74.6745         -6.1         -6.9         -6.4         -5.9   
  149 |     75.179         -6.3         -5.6         -5.4         -6.4   
  150 |    75.6836         -4.9         -5.8         -6.2         -5.7   
  151 |    76.1881         -6.3         -5.8         -5.9         -6.6   
  152 |    76.6927         -6.3         -6.6         -7.4         -6.4   
  153 |    77.1973         -6.4         -7.5         -7.3         -7.3   
  154 |    77.7018         -7.7         -8.2         -7.9         -8.2   
  155 |    78.2064         -8.7           -8         -7.8         -8.2   
  156 |    78.7109         -8.4          -10         -9.3         -9.7   
  157 |    79.2155         -9.4         -9.8         -9.5         -9.1   
  158 |    79.7201        -10.2         -9.6         -8.9         -9.3   
  159 |    80.2246        -10.1        -10.1        -10.7        -10.3   
  160 |    80.7292         -9.4         -9.8        -10.4         -9.6   
  161 |    81.2337         -9.1         -9.2         -9.6         -9.4   
  162 |    81.7383         -8.3           -9         -8.6         -8.9   
  163 |    82.2428         -8.1         -8.7         -8.8         -7.5   
  164 |    82.7474         -7.9         -7.4         -8.9         -8.1   
  165 |     83.252         -7.6           -8         -7.3         -7.1   
  166 |    83.7565         -7.2         -7.3         -6.4         -7.5   
  167 |    84.2611         -6.8         -7.1         -6.8         -8.1   
  168 |    84.7656         -6.8         -6.3         -7.2         -7.3   
  169 |    85.2702         -7.3           -8         -7.8         -7.5   
  170 |    85.7747           -7         -7.6         -7.5         -7.2   
  171 |    86.2793         -7.8         -8.1         -7.1           -8   
  172 |    86.7839         -7.6         -8.2           -7         -7.7   
  173 |    87.2884         -7.4         -7.4         -8.3         -7.5   
  174 |     87.793         -8.3         -8.1         -8.5         -8.2   
  175 |    88.2975         -8.2         -8.6         -8.2         -8.6   
  176 |    88.8021           -8         -8.5         -8.5         -8.2   
